Request Year:,2024
Test:,201
Test Description:,
TestRegime Name:,LMB NMC622 100cyc C/2
TestRegime Suffix:,DEMO
TestRegime CellSize:,Pouch 3.5Ah
TestRegime Version:,1
Project Group Name:,LMB Research
Project Group Description:,Lithium Metal Battery cycling study
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names
LotID:,
Lot Description:,
Date Made:,3/01/2024 0:00
Origin:,Lab
Requestor:,Demo
Product ID:,LMB-NMC622-Pouch
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,03/15/2024 10:00:00
End Time:,1/1/0001 0:00
Operator Instructions:,Synthetic demo data for LMBAgent
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2024,201,1,1,3500,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
201,1,LAB01,001,1,,193,48,526891.218,3419,3419,3419,0,03/21/2024 12:20:19,03/15/2024 10:00:00,3897.6293,1750.0,1661.960,0.000,5530.980,0.000,2,0,0,0,0,0,54.5,0,24.98,26.91,,,,
201,1,LAB01,001,1,,193,48,526962.445,3490,3490,3490,0,03/21/2024 12:21:31,03/15/2024 10:00:00,3923.3699,1750.0,1696.585,0.000,5666.824,0.000,2,0,0,0,0,0,54.5,0,24.90,26.63,,,,
201,1,LAB01,001,1,,193,48,527033.672,3561,3561,3561,0,03/21/2024 12:22:42,03/15/2024 10:00:00,3948.2371,1750.0,1731.209,0.000,5803.528,0.000,2,0,0,0,0,0,54.5,0,24.96,26.62,,,,
201,1,LAB01,001,1,,193,48,527104.899,3633,3633,3633,0,03/21/2024 12:23:53,03/15/2024 10:00:00,3973.8561,1750.0,1765.833,0.000,5941.120,0.000,30,0,0,0,0,0,54.5,0,24.93,26.38,,,,
201,1,LAB01,001,1,,193,48,527176.126,3704,3704,3704,0,03/21/2024 12:25:04,03/15/2024 10:00:00,3998.8233,1750.0,1800.457,0.000,6079.576,0.000,2,0,0,0,0,0,54.5,0,25.01,26.50,,,,
201,1,LAB01,001,1,,193,48,527247.353,3775,3775,3775,0,03/21/2024 12:26:16,03/15/2024 10:00:00,4023.4794,1750.0,1835.081,0.000,6218.885,0.000,2,0,0,0,0,0,54.5,0,25.01,26.38,,,,
201,1,LAB01,001,1,,193,48,527318.579,3846,3846,3846,0,03/21/2024 12:27:27,03/15/2024 10:00:00,4048.1123,1750.0,1869.706,0.000,6359.048,0.000,2,0,0,0,0,0,54.5,0,25.11,26.39,,,,
201,1,LAB01,001,1,,193,48,527389.806,3917,3917,3917,0,03/21/2024 12:28:38,03/15/2024 10:00:00,4072.5868,1750.0,1904.330,0.000,6500.058,0.000,2,0,0,0,0,0,54.5,0,24.71,25.58,,,,
201,1,LAB01,001,1,,193,48,527461.033,3989,3989,3989,0,03/21/2024 12:29:49,03/15/2024 10:00:00,4099.4343,1750.0,1938.954,0.000,6641.998,0.000,2,0,0,0,0,0,54.5,0,25.04,25.92,,,,
201,1,LAB01,001,1,,193,48,527532.260,4060,4060,4060,0,03/21/2024 12:31:01,03/15/2024 10:00:00,4123.2933,1750.0,1973.578,0.000,6784.763,0.000,2,0,0,0,0,0,54.5,0,24.88,25.69,,,,
201,1,LAB01,001,1,,193,48,527603.487,4131,4131,4131,0,03/21/2024 12:32:12,03/15/2024 10:00:00,4148.6708,1750.0,2008.202,0.000,6928.407,0.000,2,0,0,0,0,0,54.5,0,24.95,25.65,,,,
201,1,LAB01,001,1,,193,48,527674.714,4202,4202,4202,0,03/21/2024 12:33:23,03/15/2024 10:00:00,4174.0425,1750.0,2042.826,0.000,7072.930,0.000,2,0,0,0,0,0,54.5,0,24.92,25.70,,,,
201,1,LAB01,001,1,,193,48,527745.941,4274,4274,4274,0,03/21/2024 12:34:34,03/15/2024 10:00:00,4199.2638,1750.0,2077.451,0.000,7218.326,0.000,2,0,0,0,0,0,54.5,0,24.96,25.60,,,,
201,1,LAB01,001,1,,194,48,527775.941,0,0,4274,0,03/21/2024 12:35:45,03/15/2024 10:00:00,4191.1708,0.0,2077.451,0.000,7218.326,0.000,30,0,0,0,0,0,54.5,0,25.05,25.05,,,,
201,1,LAB01,001,1,,194,48,527805.941,0,30,4274,0,03/21/2024 12:36:15,03/15/2024 10:00:00,4190.5594,0.0,2077.451,0.000,7218.326,0.000,2,0,0,0,0,0,54.5,0,24.83,24.83,,,,
201,1,LAB01,001,1,,194,48,527835.941,0,60,4274,0,03/21/2024 12:36:45,03/15/2024 10:00:00,4188.3950,0.0,2077.451,0.000,7218.326,0.000,2,0,0,0,0,0,54.5,0,24.96,24.96,,,,
201,1,LAB01,001,1,,194,48,527865.941,0,90,4274,0,03/21/2024 12:37:15,03/15/2024 10:00:00,4185.3656,0.0,2077.451,0.000,7218.326,0.000,30,0,0,0,0,0,54.5,0,25.02,25.02,,,,
201,1,LAB01,001,1,,194,48,527895.941,0,120,4274,0,03/21/2024 12:37:45,03/15/2024 10:00:00,4188.8834,0.0,2077.451,0.000,7218.326,0.000,2,0,0,0,0,0,54.5,0,25.06,25.06,,,,
201,1,LAB01,001,1,,195,48,527966.478,71,71,4274,71,03/21/2024 12:38:15,03/15/2024 10:00:00,4127.0220,-1750.0,2077.451,34.289,7218.326,141.512,30,0,0,0,0,0,54.5,0,24.84,25.19,,,,
201,1,LAB01,001,1,,195,48,528037.016,141,141,4274,141,03/21/2024 12:39:26,03/15/2024 10:00:00,4104.0151,-1750.0,2077.451,68.578,7218.326,282.235,2,0,0,0,0,0,54.5,0,25.06,25.70,,,,
201,1,LAB01,001,1,,195,48,528107.554,212,212,4274,212,03/21/2024 12:40:37,03/15/2024 10:00:00,4079.4365,-1750.0,2077.451,102.867,7218.326,422.115,2,0,0,0,0,0,54.5,0,24.99,25.87,,,,
201,1,LAB01,001,1,,195,48,528178.091,282,282,4274,282,03/21/2024 12:41:47,03/15/2024 10:00:00,4057.5052,-1750.0,2077.451,137.157,7218.326,561.244,2,0,0,0,0,0,54.5,0,24.94,25.65,,,,
201,1,LAB01,001,1,,195,48,528248.629,353,353,4274,353,03/21/2024 12:42:58,03/15/2024 10:00:00,4033.1863,-1750.0,2077.451,171.446,7218.326,699.538,2,0,0,0,0,0,54.5,0,25.06,25.98,,,,
201,1,LAB01,001,1,,195,48,528319.167,423,423,4274,423,03/21/2024 12:44:08,03/15/2024 10:00:00,4011.9104,-1750.0,2077.451,205.735,7218.326,837.103,2,0,0,0,0,0,54.5,0,25.17,26.39,,,,
201,1,LAB01,001,1,,195,48,528389.704,494,494,4274,494,03/21/2024 12:45:19,03/15/2024 10:00:00,3987.9853,-1750.0,2077.451,240.024,7218.326,973.848,2,0,0,0,0,0,54.5,0,25.07,26.46,,,,
201,1,LAB01,001,1,,195,48,528460.242,564,564,4274,564,03/21/2024 12:46:29,03/15/2024 10:00:00,3964.2961,-1750.0,2077.451,274.313,7218.326,1109.780,2,0,0,0,0,0,54.5,0,25.05,26.40,,,,
201,1,LAB01,001,1,,195,48,528530.779,635,635,4274,635,03/21/2024 12:47:40,03/15/2024 10:00:00,3941.4092,-1750.0,2077.451,308.602,7218.326,1244.927,2,0,0,0,0,0,54.5,0,25.03,26.47,,,,
201,1,LAB01,001,1,,195,48,528601.317,705,705,4274,705,03/21/2024 12:48:50,03/15/2024 10:00:00,3917.6960,-1750.0,2077.451,342.891,7218.326,1379.262,2,0,0,0,0,0,54.5,0,24.98,26.36,,,,
201,1,LAB01,001,1,,195,48,528671.855,776,776,4274,776,03/21/2024 12:50:01,03/15/2024 10:00:00,3894.7904,-1750.0,2077.451,377.180,7218.326,1512.811,30,0,0,0,0,0,54.5,0,25.20,26.96,,,,
201,1,LAB01,001,1,,195,48,528742.392,846,846,4274,846,03/21/2024 12:51:11,03/15/2024 10:00:00,3871.1262,-1750.0,2077.451,411.470,7218.326,1645.548,2,0,0,0,0,0,54.5,0,24.97,26.81,,,,
201,1,LAB01,001,1,,195,48,528812.930,917,917,4274,917,03/21/2024 12:52:22,03/15/2024 10:00:00,3847.9777,-1750.0,2077.451,445.759,7218.326,1777.492,2,0,0,0,0,0,54.5,0,24.85,26.85,,,,
201,1,LAB01,001,1,,195,48,528883.468,988,988,4274,988,03/21/2024 12:53:32,03/15/2024 10:00:00,3824.1527,-1750.0,2077.451,480.048,7218.326,1908.619,2,0,0,0,0,0,54.5,0,24.98,26.92,,,,
201,1,LAB01,001,1,,195,48,528954.005,1058,1058,4274,1058,03/21/2024 12:54:43,03/15/2024 10:00:00,3800.7139,-1750.0,2077.451,514.337,7218.326,2038.942,2,0,0,0,0,0,54.5,0,25.08,27.04,,,,
201,1,LAB01,001,1,,195,48,529024.543,1129,1129,4274,1129,03/21/2024 12:55:54,03/15/2024 10:00:00,3778.2642,-1750.0,2077.451,548.626,7218.326,2168.496,2,0,0,0,0,0,54.5,0,25.06,27.44,,,,
201,1,LAB01,001,1,,195,48,529095.081,1199,1199,4274,1199,03/21/2024 12:57:04,03/15/2024 10:00:00,3754.0416,-1750.0,2077.451,582.915,7218.326,2297.218,2,0,0,0,0,0,54.5,0,25.15,27.82,,,,
201,1,LAB01,001,1,,195,48,529165.618,1270,1270,4274,1270,03/21/2024 12:58:15,03/15/2024 10:00:00,3730.8980,-1750.0,2077.451,617.204,7218.326,2425.148,2,0,0,0,0,0,54.5,0,24.78,27.33,,,,
201,1,LAB01,001,1,,195,48,529236.156,1340,1340,4274,1340,03/21/2024 12:59:25,03/15/2024 10:00:00,3706.9687,-1750.0,2077.451,651.493,7218.326,2552.256,2,0,0,0,0,0,54.5,0,24.93,27.24,,,,
201,1,LAB01,001,1,,195,48,529306.694,1411,1411,4274,1411,03/21/2024 13:00:36,03/15/2024 10:00:00,3683.1467,-1750.0,2077.451,685.783,7218.326,2678.548,2,0,0,0,0,0,54.5,0,24.90,27.24,,,,
201,1,LAB01,001,1,,195,48,529377.231,1481,1481,4274,1481,03/21/2024 13:01:46,03/15/2024 10:00:00,3658.4610,-1750.0,2077.451,720.072,7218.326,2803.994,30,0,0,0,0,0,54.5,0,24.88,27.43,,,,
201,1,LAB01,001,1,,195,48,529447.769,1552,1552,4274,1552,03/21/2024 13:02:57,03/15/2024 10:00:00,3637.6389,-1750.0,2077.451,754.361,7218.326,2928.725,2,0,0,0,0,0,54.5,0,25.03,27.68,,,,
201,1,LAB01,001,1,,195,48,529518.306,1622,1622,4274,1622,03/21/2024 13:04:07,03/15/2024 10:00:00,3612.2329,-1750.0,2077.451,788.650,7218.326,3052.586,2,0,0,0,0,0,54.5,0,24.84,27.53,,,,
201,1,LAB01,001,1,,195,48,529588.844,1693,1693,4274,1693,03/21/2024 13:05:18,03/15/2024 10:00:00,3588.1422,-1750.0,2077.451,822.939,7218.326,3175.620,2,0,0,0,0,0,54.5,0,25.10,27.65,,,,
201,1,LAB01,001,1,,195,48,529659.382,1763,1763,4274,1763,03/21/2024 13:06:28,03/15/2024 10:00:00,3563.5156,-1750.0,2077.451,857.228,7218.326,3297.810,2,0,0,0,0,0,54.5,0,25.11,27.97,,,,
201,1,LAB01,001,1,,195,48,529729.919,1834,1834,4274,1834,03/21/2024 13:07:39,03/15/2024 10:00:00,3539.0916,-1750.0,2077.451,891.517,7218.326,3419.162,2,0,0,0,0,0,54.5,0,24.95,27.62,,,,
201,1,LAB01,001,1,,195,48,529800.457,1905,1905,4274,1905,03/21/2024 13:08:49,03/15/2024 10:00:00,3516.1037,-1750.0,2077.451,925.807,7218.326,3539.726,2,0,0,0,0,0,54.5,0,25.05,28.00,,,,
201,1,LAB01,001,1,,195,48,529870.995,1975,1975,4274,1975,03/21/2024 13:10:00,03/15/2024 10:00:00,3491.0788,-1750.0,2077.451,960.096,7218.326,3659.432,2,0,0,0,0,0,54.5,0,25.02,27.95,,,,
201,1,LAB01,001,1,,195,48,529941.532,2046,2046,4274,2046,03/21/2024 13:11:10,03/15/2024 10:00:00,3467.6364,-1750.0,2077.451,994.385,7218.326,3778.335,2,0,0,0,0,0,54.5,0,25.13,28.26,,,,
201,1,LAB01,001,1,,195,48,530012.070,2116,2116,4274,2116,03/21/2024 13:12:21,03/15/2024 10:00:00,3442.1639,-1750.0,2077.451,1028.674,7218.326,3896.363,2,0,0,0,0,0,54.5,0,25.09,28.15,,,,
201,1,LAB01,001,1,,195,48,530082.608,2187,2187,4274,2187,03/21/2024 13:13:32,03/15/2024 10:00:00,3419.8989,-1750.0,2077.451,1062.963,7218.326,4013.629,30,0,0,0,0,0,54.5,0,25.07,27.99,,,,
201,1,LAB01,001,1,,195,48,530153.145,2257,2257,4274,2257,03/21/2024 13:14:42,03/15/2024 10:00:00,3395.6935,-1750.0,2077.451,1097.252,7218.326,4130.064,2,0,0,0,0,0,54.5,0,24.99,27.92,,,,
201,1,LAB01,001,1,,195,48,530223.683,2328,2328,4274,2328,03/21/2024 13:15:53,03/15/2024 10:00:00,3370.8826,-1750.0,2077.451,1131.541,7218.326,4245.649,2,0,0,0,0,0,54.5,0,24.85,27.83,,,,
201,1,LAB01,001,1,,195,48,530294.221,2398,2398,4274,2398,03/21/2024 13:17:03,03/15/2024 10:00:00,3347.6963,-1750.0,2077.451,1165.830,7218.326,4360.438,2,0,0,0,0,0,54.5,0,24.96,28.15,,,,
201,1,LAB01,001,1,,195,48,530364.758,2469,2469,4274,2469,03/21/2024 13:18:14,03/15/2024 10:00:00,3321.7330,-1750.0,2077.451,1200.120,7218.326,4474.338,2,0,0,0,0,0,54.5,0,24.94,27.94,,,,
201,1,LAB01,001,1,,195,48,530435.296,2539,2539,4274,2539,03/21/2024 13:19:24,03/15/2024 10:00:00,3298.4120,-1750.0,2077.451,1234.409,7218.326,4587.437,2,0,0,0,0,0,54.5,0,25.01,27.90,,,,
201,1,LAB01,001,1,,195,48,530505.833,2610,2610,4274,2610,03/21/2024 13:20:35,03/15/2024 10:00:00,3273.1608,-1750.0,2077.451,1268.698,7218.326,4699.671,2,0,0,0,0,0,54.5,0,25.12,27.84,,,,
201,1,LAB01,001,1,,195,48,530576.371,2680,2680,4274,2680,03/21/2024 13:21:45,03/15/2024 10:00:00,3248.2422,-1750.0,2077.451,1302.987,7218.326,4811.051,2,0,0,0,0,0,54.5,0,25.04,27.76,,,,
201,1,LAB01,001,1,,195,48,530646.909,2751,2751,4274,2751,03/21/2024 13:22:56,03/15/2024 10:00:00,3225.3398,-1750.0,2077.451,1337.276,7218.326,4921.645,2,0,0,0,0,0,54.5,0,25.10,28.15,,,,
201,1,LAB01,001,1,,195,48,530717.446,2822,2822,4274,2822,03/21/2024 13:24:06,03/15/2024 10:00:00,3200.4733,-1750.0,2077.451,1371.565,7218.326,5031.386,2,0,0,0,0,0,54.5,0,25.12,27.74,,,,
201,1,LAB01,001,1,,195,48,530787.984,2892,2892,4274,2892,03/21/2024 13:25:17,03/15/2024 10:00:00,3175.8982,-1750.0,2077.451,1405.854,7218.326,5140.285,30,0,0,0,0,0,54.5,0,24.90,27.34,,,,
201,1,LAB01,001,1,,195,48,530858.522,2963,2963,4274,2963,03/21/2024 13:26:27,03/15/2024 10:00:00,3150.5905,-1750.0,2077.451,1440.144,7218.326,5248.316,2,0,0,0,0,0,54.5,0,25.01,27.36,,,,
201,1,LAB01,001,1,,195,48,530929.059,3033,3033,4274,3033,03/21/2024 13:27:38,03/15/2024 10:00:00,3126.0951,-1750.0,2077.451,1474.433,7218.326,5355.507,2,0,0,0,0,0,54.5,0,24.90,27.47,,,,
201,1,LAB01,001,1,,195,48,530999.597,3104,3104,4274,3104,03/21/2024 13:28:49,03/15/2024 10:00:00,3101.0801,-1750.0,2077.451,1508.722,7218.326,5461.840,2,0,0,0,0,0,54.5,0,24.92,27.11,,,,
201,1,LAB01,001,1,,195,48,531070.135,3174,3174,4274,3174,03/21/2024 13:29:59,03/15/2024 10:00:00,3075.9732,-1750.0,2077.451,1543.011,7218.326,5567.313,2,0,0,0,0,0,54.5,0,24.98,27.31,,,,
201,1,LAB01,001,1,,195,48,531140.672,3245,3245,4274,3245,03/21/2024 13:31:10,03/15/2024 10:00:00,3052.0461,-1750.0,2077.451,1577.300,7218.326,5671.965,2,0,0,0,0,0,54.5,0,24.94,27.11,,,,
201,1,LAB01,001,1,,195,48,531211.210,3315,3315,4274,3315,03/21/2024 13:32:20,03/15/2024 10:00:00,3027.0203,-1750.0,2077.451,1611.589,7218.326,5775.759,2,0,0,0,0,0,54.5,0,25.13,26.86,,,,
201,1,LAB01,001,1,,195,48,531281.747,3386,3386,4274,3386,03/21/2024 13:33:31,03/15/2024 10:00:00,3001.7366,-1750.0,2077.451,1645.878,7218.326,5878.686,2,0,0,0,0,0,54.5,0,25.16,27.15,,,,
201,1,LAB01,001,1,,195,48,531352.285,3456,3456,4274,3456,03/21/2024 13:34:41,03/15/2024 10:00:00,2977.5737,-1750.0,2077.451,1680.167,7218.326,5980.784,2,0,0,0,0,0,54.5,0,25.10,26.68,,,,
201,1,LAB01,001,1,,195,48,531422.823,3527,3527,4274,3527,03/21/2024 13:35:52,03/15/2024 10:00:00,2953.3550,-1750.0,2077.451,1714.457,7218.326,6082.052,2,0,0,0,0,0,54.5,0,25.06,26.63,,,,
201,1,LAB01,001,1,,195,48,531493.360,3597,3597,4274,3597,03/21/2024 13:37:02,03/15/2024 10:00:00,2927.8220,-1750.0,2077.451,1748.746,7218.326,6182.445,30,0,0,0,0,0,54.5,0,25.22,26.74,,,,
201,1,LAB01,001,1,,195,48,531563.898,3668,3668,4274,3668,03/21/2024 13:38:13,03/15/2024 10:00:00,2903.1928,-1750.0,2077.451,1783.035,7218.326,6281.993,2,0,0,0,0,0,54.5,0,25.07,26.24,,,,
201,1,LAB01,001,1,,195,48,531634.436,3738,3738,4274,3738,03/21/2024 13:39:23,03/15/2024 10:00:00,2877.2432,-1750.0,2077.451,1817.324,7218.326,6380.651,2,0,0,0,0,0,54.5,0,24.91,26.14,,,,
201,1,LAB01,001,1,,195,48,531704.973,3809,3809,4274,3809,03/21/2024 13:40:34,03/15/2024 10:00:00,2851.3254,-1750.0,2077.451,1851.613,7218.326,6478.420,2,0,0,0,0,0,54.5,0,25.01,26.30,,,,
201,1,LAB01,001,1,,195,48,531775.511,3880,3880,4274,3880,03/21/2024 13:41:44,03/15/2024 10:00:00,2825.6080,-1750.0,2077.451,1885.902,7218.326,6575.308,2,0,0,0,0,0,54.5,0,24.93,26.03,,,,
201,1,LAB01,001,1,,195,48,531846.049,3950,3950,4274,3950,03/21/2024 13:42:55,03/15/2024 10:00:00,2800.9552,-1750.0,2077.451,1920.191,7218.326,6671.350,2,0,0,0,0,0,54.5,0,25.07,25.99,,,,
201,1,LAB01,001,1,,195,48,531916.586,4021,4021,4274,4021,03/21/2024 13:44:06,03/15/2024 10:00:00,2775.1745,-1750.0,2077.451,1954.480,7218.326,6766.509,2,0,0,0,0,0,54.5,0,25.06,26.12,,,,
201,1,LAB01,001,1,,195,48,531987.124,4091,4091,4274,4091,03/21/2024 13:45:16,03/15/2024 10:00:00,2750.3511,-1750.0,2077.451,1988.770,7218.326,6860.816,2,0,0,0,0,0,54.5,0,25.14,25.75,,,,
201,1,LAB01,001,1,,195,48,532057.662,4162,4162,4274,4162,03/21/2024 13:46:27,03/15/2024 10:00:00,2726.4420,-1750.0,2077.451,2023.059,7218.326,6954.303,2,0,0,0,0,0,54.5,0,24.96,25.72,,,,
201,1,LAB01,001,1,,195,48,532128.199,4232,4232,4274,4232,03/21/2024 13:47:37,03/15/2024 10:00:00,2700.7058,-1750.0,2077.451,2057.348,7218.326,7046.908,2,0,0,0,0,0,54.5,0,24.99,25.42,,,,
201,1,LAB01,001,1,,196,49,532148.199,0,0,0,0,03/21/2024 13:48:48,03/15/2024 10:00:00,2903.0118,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,54.8,0,24.98,24.98,,,,
201,1,LAB01,001,1,,196,49,532168.199,0,20,0,0,03/21/2024 13:49:08,03/15/2024 10:00:00,2901.9509,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,54.8,0,25.02,25.02,,,,
201,1,LAB01,001,1,,196,49,532188.199,0,40,0,0,03/21/2024 13:49:28,03/15/2024 10:00:00,2903.2735,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,54.8,0,24.98,24.98,,,,
201,1,LAB01,001,1,,196,49,532208.199,0,60,0,0,03/21/2024 13:49:48,03/15/2024 10:00:00,2902.9976,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,54.8,0,24.92,24.92,,,,
201,1,LAB01,001,1,,196,49,532228.199,0,80,0,0,03/21/2024 13:50:08,03/15/2024 10:00:00,2903.0535,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,54.8,0,24.83,24.83,,,,
201,1,LAB01,001,1,,197,49,532298.713,71,71,71,0,03/21/2024 13:50:28,03/15/2024 10:00:00,2772.7811,1750.0,34.278,0.000,95.044,0.000,30,0,0,0,0,0,54.8,0,24.93,25.52,,,,
201,1,LAB01,001,1,,197,49,532369.227,141,141,141,0,03/21/2024 13:51:38,03/15/2024 10:00:00,2796.8923,1750.0,68.555,0.000,190.915,0.000,2,0,0,0,0,0,54.8,0,24.84,25.42,,,,
201,1,LAB01,001,1,,197,49,532439.741,212,212,212,0,03/21/2024 13:52:49,03/15/2024 10:00:00,2819.1861,1750.0,102.833,0.000,287.549,0.000,2,0,0,0,0,0,54.8,0,24.95,25.75,,,,
201,1,LAB01,001,1,,197,49,532510.254,282,282,282,0,03/21/2024 13:53:59,03/15/2024 10:00:00,2841.4124,1750.0,137.110,0.000,384.946,0.000,2,0,0,0,0,0,54.8,0,24.95,25.93,,,,
201,1,LAB01,001,1,,197,49,532580.768,353,353,353,0,03/21/2024 13:55:10,03/15/2024 10:00:00,2865.7198,1750.0,171.388,0.000,483.176,0.000,2,0,0,0,0,0,54.8,0,24.88,25.93,,,,
201,1,LAB01,001,1,,197,49,532651.282,423,423,423,0,03/21/2024 13:56:20,03/15/2024 10:00:00,2889.1202,1750.0,205.665,0.000,582.208,0.000,2,0,0,0,0,0,54.8,0,25.05,26.14,,,,
201,1,LAB01,001,1,,197,49,532721.796,494,494,494,0,03/21/2024 13:57:31,03/15/2024 10:00:00,2911.2005,1750.0,239.943,0.000,681.997,0.000,2,0,0,0,0,0,54.8,0,25.10,26.27,,,,
201,1,LAB01,001,1,,197,49,532792.310,564,564,564,0,03/21/2024 13:58:41,03/15/2024 10:00:00,2934.7561,1750.0,274.220,0.000,782.593,0.000,2,0,0,0,0,0,54.8,0,25.05,26.52,,,,
201,1,LAB01,001,1,,197,49,532862.823,635,635,635,0,03/21/2024 13:59:52,03/15/2024 10:00:00,2959.3536,1750.0,308.498,0.000,884.032,0.000,2,0,0,0,0,0,54.8,0,25.09,26.57,,,,
201,1,LAB01,001,1,,197,49,532933.337,705,705,705,0,03/21/2024 14:01:02,03/15/2024 10:00:00,2980.8830,1750.0,342.775,0.000,986.210,0.000,2,0,0,0,0,0,54.8,0,24.86,26.24,,,,
201,1,LAB01,001,1,,197,49,533003.851,776,776,776,0,03/21/2024 14:02:13,03/15/2024 10:00:00,3005.6094,1750.0,377.053,0.000,1089.234,0.000,30,0,0,0,0,0,54.8,0,24.99,26.91,,,,
201,1,LAB01,001,1,,197,49,533074.365,846,846,846,0,03/21/2024 14:03:23,03/15/2024 10:00:00,3028.3650,1750.0,411.330,0.000,1193.039,0.000,2,0,0,0,0,0,54.8,0,24.94,26.79,,,,
201,1,LAB01,001,1,,197,49,533144.879,917,917,917,0,03/21/2024 14:04:34,03/15/2024 10:00:00,3051.8355,1750.0,445.608,0.000,1297.649,0.000,2,0,0,0,0,0,54.8,0,24.98,27.01,,,,
201,1,LAB01,001,1,,197,49,533215.392,987,987,987,0,03/21/2024 14:05:44,03/15/2024 10:00:00,3074.1648,1750.0,479.886,0.000,1403.024,0.000,2,0,0,0,0,0,54.8,0,24.99,27.08,,,,
201,1,LAB01,001,1,,197,49,533285.906,1058,1058,1058,0,03/21/2024 14:06:55,03/15/2024 10:00:00,3098.9511,1750.0,514.163,0.000,1509.248,0.000,2,0,0,0,0,0,54.8,0,24.91,27.07,,,,
201,1,LAB01,001,1,,197,49,533356.420,1128,1128,1128,0,03/21/2024 14:08:05,03/15/2024 10:00:00,3122.3664,1750.0,548.441,0.000,1616.275,0.000,2,0,0,0,0,0,54.8,0,25.05,27.47,,,,
201,1,LAB01,001,1,,197,49,533426.934,1199,1199,1199,0,03/21/2024 14:09:16,03/15/2024 10:00:00,3145.4517,1750.0,582.718,0.000,1724.093,0.000,2,0,0,0,0,0,54.8,0,25.08,27.27,,,,
201,1,LAB01,001,1,,197,49,533497.448,1269,1269,1269,0,03/21/2024 14:10:26,03/15/2024 10:00:00,3167.7813,1750.0,616.996,0.000,1832.677,0.000,2,0,0,0,0,0,54.8,0,24.98,27.27,,,,
201,1,LAB01,001,1,,197,49,533567.961,1340,1340,1340,0,03/21/2024 14:11:37,03/15/2024 10:00:00,3193.3363,1750.0,651.273,0.000,1942.137,0.000,2,0,0,0,0,0,54.8,0,24.89,27.58,,,,
201,1,LAB01,001,1,,197,49,533638.475,1410,1410,1410,0,03/21/2024 14:12:47,03/15/2024 10:00:00,3217.3405,1750.0,685.551,0.000,2052.419,0.000,2,0,0,0,0,0,54.8,0,25.08,27.79,,,,
201,1,LAB01,001,1,,197,49,533708.989,1481,1481,1481,0,03/21/2024 14:13:58,03/15/2024 10:00:00,3239.8278,1750.0,719.828,0.000,2163.473,0.000,30,0,0,0,0,0,54.8,0,25.01,27.81,,,,
201,1,LAB01,001,1,,197,49,533779.503,1551,1551,1551,0,03/21/2024 14:15:08,03/15/2024 10:00:00,3263.6045,1750.0,754.106,0.000,2275.341,0.000,2,0,0,0,0,0,54.8,0,24.99,27.57,,,,
201,1,LAB01,001,1,,197,49,533850.017,1622,1622,1622,0,03/21/2024 14:16:19,03/15/2024 10:00:00,3287.7904,1750.0,788.383,0.000,2388.038,0.000,2,0,0,0,0,0,54.8,0,25.04,27.91,,,,
201,1,LAB01,001,1,,197,49,533920.530,1692,1692,1692,0,03/21/2024 14:17:30,03/15/2024 10:00:00,3311.0288,1750.0,822.661,0.000,2501.532,0.000,2,0,0,0,0,0,54.8,0,25.08,27.97,,,,
201,1,LAB01,001,1,,197,49,533991.044,1763,1763,1763,0,03/21/2024 14:18:40,03/15/2024 10:00:00,3336.1525,1750.0,856.939,0.000,2615.888,0.000,2,0,0,0,0,0,54.8,0,25.10,27.81,,,,
201,1,LAB01,001,1,,197,49,534061.558,1833,1833,1833,0,03/21/2024 14:19:51,03/15/2024 10:00:00,3359.3755,1750.0,891.216,0.000,2731.039,0.000,2,0,0,0,0,0,54.8,0,25.11,27.89,,,,
201,1,LAB01,001,1,,197,49,534132.072,1904,1904,1904,0,03/21/2024 14:21:01,03/15/2024 10:00:00,3382.0047,1750.0,925.494,0.000,2846.965,0.000,2,0,0,0,0,0,54.8,0,25.11,27.95,,,,
